"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","Growth.Indicator","Enrollment","Value","Tuition_Av","FX_Rate"
"2014","Gambia","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,18500,65.97
"2014","Gambia","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,18500,65.97
"2014","Gambia","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,13500,65.97
"2014","Gambia","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,13500,65.97
"2014","Gambia","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,13500,65.97
"2014","Gambia","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,13500,65.97
"2014","Gambia","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,13500,65.97
"2014","Gambia","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,13500,65.97
"2014","Gambia","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,13500,65.97
"2014","Gambia","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,13500,65.97
"2014","Gambia","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,12750,65.97
"2014","Gambia","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,12750,65.97
"2014","Gambia","The University of the West of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,12750,65.97
"2014","Gambia","The University of the West of Scotland","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,12750,65.97
"2014","Gambia","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","GDP ",0,-1.41,12000,65.97
"2014","Gambia","University of the Highlands and Islands","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","Inflation ",0,5.21,12000,65.97
